

RELATIVE TOLERANCE = 7.9667e-15

ITER #        RELATIVE RESIDUAL
***************  *******************
       1               1.5332e-09
       2               5.9267e-10
       3               2.9787e-10
       4               1.7840e-10
       5               1.1231e-10
       6               6.9690e-11
       7               4.2908e-11
       8               2.6397e-11
       9               1.4514e-11
      10               1.3936e-11
      11               7.1283e-12
      12               4.0281e-12
      13               2.3742e-12
      14               2.0859e-12
      15               1.1331e-12
      16               6.7075e-13
      17               5.5594e-13
      18               3.7116e-13
      19               3.0206e-13
      20               2.0967e-13
      21               1.3333e-13
      22               1.0986e-13
      23               5.9335e-14
      24               4.9443e-14
      25               3.6959e-14
      26               2.5275e-14
      27               1.2514e-14
      28               1.0108e-14
      29               5.5328e-15


***PROBLEM CONVERGES IN 29 ITERATIONS***

