

RELATIVE TOLERANCE = 8.8970e-15

ITER #        RELATIVE RESIDUAL
***************  *******************
       1               1.9789e-09
       2               6.5689e-10
       3               2.7506e-10
       4               1.6251e-10
       5               1.0550e-10
       6               5.6141e-11
       7               2.7494e-11
       8               1.6487e-11
       9               1.1304e-11
      10               1.1057e-11
      11               6.5358e-12
      12               3.4193e-12
      13               2.3828e-12
      14               1.7892e-12
      15               1.0892e-12
      16               7.9933e-13
      17               6.3223e-13
      18               4.3366e-13
      19               3.2228e-13
      20               2.4209e-13
      21               1.9984e-13
      22               9.8259e-14
      23               7.4360e-14
      24               5.0792e-14
      25               3.5603e-14
      26               3.0252e-14
      27               1.6040e-14
      28               7.0732e-15


***PROBLEM CONVERGES IN 28 ITERATIONS***

