

RELATIVE TOLERANCE = 7.9667e-15

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.5389e-09
       2                 1.3320e-09
       3                 5.8231e-10
       4                 3.0044e-10
       5                 2.1323e-10
       6                 1.6457e-10
       7                 1.0947e-10
       8                 8.4453e-11
       9                 5.8631e-11
      10                 4.5129e-11
      11                 2.8605e-11
      12                 2.5921e-11
      13                 1.4726e-11
      14                 8.5342e-12
      15                 4.5498e-12
      16                 2.5998e-12
      17                 1.8315e-12
      18                 1.5271e-12
      19                 1.1120e-12
      20                 9.2264e-13
      21                 6.7422e-13
      22                 5.8686e-13
      23                 5.0709e-13
      24                 3.2001e-13
      25                 1.9302e-13
      26                 1.4543e-13
      27                 7.6215e-14
      28                 3.3669e-14
      29                 1.9762e-14
      30                 1.4823e-14
      31                 9.0786e-15
      32                 5.9787e-15


***PROBLEM CONVERGES IN 32 ITERATIONS***

