

RELATIVE TOLERANCE = 2.2280e-08

ITER #        RELATIVE RESIDUAL
***************  *******************
       1               6.5975e-03
       2               1.4287e-03
       3               3.4903e-04
       4               2.9939e-04
       5               2.3123e-04
       6               1.3729e-04
       7               1.0736e-04
       8               9.6763e-05
       9               8.2212e-05
      10               7.8766e-05
      11               7.8595e-05
      12               7.8491e-05
      13               7.4866e-05
      14               6.4928e-05
      15               5.7031e-05
      16               4.8716e-05
      17               4.1597e-05
      18               3.8199e-05
      19               3.6440e-05
      20               3.5057e-05
      21               3.4932e-05
      22               3.4900e-05
      23               3.4400e-05
      24               3.2559e-05
      25               3.0048e-05
      26               2.8116e-05
      27               2.4074e-05
      28               1.8300e-05
      29               1.6324e-05
      30               1.5712e-05
      31               1.5683e-05
      32               1.5509e-05
      33               1.4679e-05
      34               1.2121e-05
      35               1.1076e-05
      36               8.8301e-06
      37               6.8398e-06
      38               6.1202e-06
      39               5.6989e-06
      40               5.6564e-06
      41               5.6550e-06
      42               5.4208e-06
      43               4.5698e-06
      44               3.6243e-06
      45               2.9792e-06
      46               2.3612e-06
      47               2.0560e-06
      48               1.7087e-06
      49               1.6566e-06
      50               1.6546e-06
      51               1.5355e-06
      52               1.1976e-06
      53               8.8651e-07
      54               7.4960e-07
      55               6.8035e-07
      56               6.4209e-07
      57               6.4196e-07
      58               6.3070e-07
      59               5.2591e-07
      60               4.4158e-07
      61               3.6734e-07
      62               3.0353e-07
      63               2.7285e-07
      64               2.6112e-07
      65               2.6105e-07
      66               2.4658e-07
      67               2.1237e-07
      68               1.5547e-07
      69               1.2541e-07
      70               1.0979e-07
      71               1.0293e-07
      72               1.0263e-07
      73               1.0090e-07
      74               9.1181e-08
      75               8.1046e-08
      76               6.5181e-08
      77               5.4972e-08
      78               5.1067e-08
      79               5.0013e-08
      80               4.9774e-08
      81               4.6820e-08
      82               3.8306e-08
      83               2.9009e-08
      84               2.3951e-08
      85               2.1358e-08


***PROBLEM CONVERGES IN 85 ITERATIONS***

