

RELATIVE TOLERANCE = 3.9565e-10

ITER #        RELATIVE RESIDUAL
***************  *******************
       1               1.2291e-04
       2               4.5282e-05
       3               2.4349e-05
       4               9.5802e-06
       5               3.4539e-06
       6               3.0284e-06
       7               1.9708e-06
       8               1.4296e-06
       9               9.7985e-07
      10               6.0472e-07
      11               3.5367e-07
      12               3.2023e-07
      13               2.7309e-07
      14               2.5610e-07
      15               2.3600e-07
      16               2.0713e-07
      17               1.8259e-07
      18               1.5668e-07
      19               9.1469e-08
      20               7.4895e-08
      21               4.7866e-08
      22               3.2589e-08
      23               1.3065e-08
      24               1.0228e-08
      25               6.1580e-09
      26               5.1329e-09
      27               3.9486e-09
      28               3.4766e-09
      29               2.8579e-09
      30               1.8273e-09
      31               1.3207e-09
      32               8.4367e-10
      33               7.4063e-10
      34               5.6901e-10
      35               5.0823e-10
      36               4.5732e-10
      37               3.8301e-10


***PROBLEM CONVERGES IN 37 ITERATIONS***

